"676226, REGENT CARE CENTER OF SAN MARCOS, 1351 SADLER, SAN MARCOS TX, 78666"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676280, ESTRELLA OAKS REHABILITATION AND CARE CENTER, 4011 WILLIAMS DR, GEORGETOWN TX, 78628"
"676298, SPJST REST HOME NO 2, 8611 MAIN ST, NEEDVILLE TX, 77461"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676278, SENIOR CARE OF BROWNWOOD, 2700 MEMORIAL PARK DR, BROWNWOOD TX, 76801"
"676282, BAYOU MANOR, 4141 S BRAESWOOD BLVD, HOUSTON TX, 77025"
"676294, HERITAGE HOUSE AT PARIS REHAB & NURSING, 150 S.E. 47TH STREET, PARIS TX, 75462"
"676260, THE MERIDIAN, 2228 SEAWALL BLVD, GALVESTON TX, 77550"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676271, SENIOR CARE OF ONION CREEK, 1700 ONION CREEK PKWY, AUSTIN TX, 78748"
"676284, KINDRED HOSPITAL - DALLAS, 9525 GREENVILLE AVE, DALLAS TX, 75243"
"676262, THE HEIGHTS OF TYLER, 2650 ELKTON TRAIL, TYLER TX, 75703"
"676263, DEERBROOK SKILLED NURSING AND REHAB CENTER, 9250 HUMBLE-WESTFIELD RD, HUMBLE TX, 77338"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676332, THE MEDICAL RESORT AT BAY AREA, 4900 EAST SAM HOUSTON PARKWAY SOUTH, PASADENA TX, 77505"
"676334, CHELSEA GARDENS, 4422 RIVERSTONE BLVD, MISSOURI CITY TX, 77459"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676319, CORINTH REHABILITATION SUITES ON THE PARKWAY, 3511 CORINTH PARKWAY, CORINTH TX, 76208"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676325, TRISUN CARE CENTER -  LAKESIDE, 8707 LAKESIDE PARKWAY, SAN ANTONIO TX, 78245"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676317, THE HARRISON AT HERITAGE, 4600 HERITAGE TRACE PARKWAY, FORT WORTH TX, 76244"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676325, TRISUN CARE CENTER -  LAKESIDE, 8707 LAKESIDE PARKWAY, SAN ANTONIO TX, 78245"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676333, SCC AT CLEAR BROOK CROSSING REHABILITATION AND HEA, 10800 FLORA MAE MEADOWS RD, HOUSTON TX, 77089"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676326, EDGEWOOD REHABILITATION AND CARE CENTER, 1101 WINDBELL DR, MESQUITE TX, 75149"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676334, CHELSEA GARDENS, 4422 RIVERSTONE BLVD, MISSOURI CITY TX, 77459"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676315, THE HILLCREST OF NORTH DALLAS, 18648 HILLCREST RD, DALLAS TX, 75252"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676332, THE MEDICAL RESORT AT BAY AREA, 4900 EAST SAM HOUSTON PARKWAY SOUTH, PASADENA TX, 77505"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676341, CAPROCK NURSING & REHABILITATION, 900 COLLEGE AVE, BORGER TX, 79007"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676315, THE HILLCREST OF NORTH DALLAS, 18648 HILLCREST RD, DALLAS TX, 75252"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676332, THE MEDICAL RESORT AT BAY AREA, 4900 EAST SAM HOUSTON PARKWAY SOUTH, PASADENA TX, 77505"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676346, SENIOR CARE OF EDINBURG, 4503 S SUGAR RD, EDINBURG TX, 78539"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676345, BEL AIR AT TERAVISTA, 4105 TERAVISTA CLUB DRIVE, ROUND ROCK TX, 78665"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676345, BEL AIR AT TERAVISTA, 4105 TERAVISTA CLUB DRIVE, ROUND ROCK TX, 78665"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676347, AMARILLO CENTER FOR SKILLED CARE, 6641 W AMARILLO BLVD, AMARILLO TX, 79106"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676332, THE MEDICAL RESORT AT BAY AREA, 4900 EAST SAM HOUSTON PARKWAY SOUTH, PASADENA TX, 77505"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676345, BEL AIR AT TERAVISTA, 4105 TERAVISTA CLUB DRIVE, ROUND ROCK TX, 78665"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676326, EDGEWOOD REHABILITATION AND CARE CENTER, 1101 WINDBELL DR, MESQUITE TX, 75149"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676311, WATKINS-LOGAN-GARRISON TEXAS STATE VETERAN'S HOME, 11466 HONOR LANE, TYLER TX, 75708"
"676307, OAK VILLAGE HEALTHCARE, 204 OAK DRIVE SOUTH, LAKE JACKSON TX, 77566"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676341, CAPROCK NURSING & REHABILITATION, 900 COLLEGE AVE, BORGER TX, 79007"
"676349, ACCEL AT WILLOW BEND, 2620 COMMUNICATIONS PKWY, PLANO TX, 75093"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676350, THE HEIGHTS OF TOMBALL, 27840 JOHNSON ROAD, TOMBALL TX, 77375"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676389, MATADOR HEALTH AND REHABILITATION CENTER, 805 HARRISON ST, MATADOR TX, 79244"
"676317, THE HARRISON AT HERITAGE, 4600 HERITAGE TRACE PARKWAY, FORT WORTH TX, 76244"
"676333, SCC AT CLEAR BROOK CROSSING REHABILITATION AND HEA, 10800 FLORA MAE MEADOWS RD, HOUSTON TX, 77089"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676338, COON MEMORIAL HOME, 210 TEXAS BLVD, DALHART TX, 79022"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676317, THE HARRISON AT HERITAGE, 4600 HERITAGE TRACE PARKWAY, FORT WORTH TX, 76244"
"676317, THE HARRISON AT HERITAGE, 4600 HERITAGE TRACE PARKWAY, FORT WORTH TX, 76244"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676307, OAK VILLAGE HEALTHCARE, 204 OAK DRIVE SOUTH, LAKE JACKSON TX, 77566"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676345, BEL AIR AT TERAVISTA, 4105 TERAVISTA CLUB DRIVE, ROUND ROCK TX, 78665"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676326, EDGEWOOD REHABILITATION AND CARE CENTER, 1101 WINDBELL DR, MESQUITE TX, 75149"
"676347, AMARILLO CENTER FOR SKILLED CARE, 6641 W AMARILLO BLVD, AMARILLO TX, 79106"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676338, COON MEMORIAL HOME, 210 TEXAS BLVD, DALHART TX, 79022"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676311, WATKINS-LOGAN-GARRISON TEXAS STATE VETERAN'S HOME, 11466 HONOR LANE, TYLER TX, 75708"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676332, THE MEDICAL RESORT AT BAY AREA, 4900 EAST SAM HOUSTON PARKWAY SOUTH, PASADENA TX, 77505"
"676325, TRISUN CARE CENTER -  LAKESIDE, 8707 LAKESIDE PARKWAY, SAN ANTONIO TX, 78245"
"676304, CREEKSIDE VILLAGE HEALTHCARE, 914 N BRAZOSPORT BLVD, CLUTE TX, 77531"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676304, CREEKSIDE VILLAGE HEALTHCARE, 914 N BRAZOSPORT BLVD, CLUTE TX, 77531"
"676310, SOLERA AT WEST HOUSTON, 2101 GREENHOUSE ROAD, HOUSTON TX, 77084"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676308, SAN GABRIEL REHABILITATION AND CARE CENTER, 4100 COLLEGE PARK DR, ROUND ROCK TX, 78665"
"676316, HIGH HOPE CARE CENTER OF BRENHAM, 401 EAST BLUE BELL ROAD, BRENHAM TX, 77833"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676311, WATKINS-LOGAN-GARRISON TEXAS STATE VETERAN'S HOME, 11466 HONOR LANE, TYLER TX, 75708"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676310, SOLERA AT WEST HOUSTON, 2101 GREENHOUSE ROAD, HOUSTON TX, 77084"
"676335, BROADMOOR MEDICAL LODGE, 5242 MEDICAL DRIVE, ROCKWALL TX, 75032"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676311, WATKINS-LOGAN-GARRISON TEXAS STATE VETERAN'S HOME, 11466 HONOR LANE, TYLER TX, 75708"
"676317, THE HARRISON AT HERITAGE, 4600 HERITAGE TRACE PARKWAY, FORT WORTH TX, 76244"
"676310, SOLERA AT WEST HOUSTON, 2101 GREENHOUSE ROAD, HOUSTON TX, 77084"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676340, ROCK HAVEN NURSING HOME, 401 S E STALLINGS DR, NACOGDOCHES TX, 75964"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676338, COON MEMORIAL HOME, 210 TEXAS BLVD, DALHART TX, 79022"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676346, SENIOR CARE OF EDINBURG, 4503 S SUGAR RD, EDINBURG TX, 78539"
"676346, SENIOR CARE OF EDINBURG, 4503 S SUGAR RD, EDINBURG TX, 78539"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676334, CHELSEA GARDENS, 4422 RIVERSTONE BLVD, MISSOURI CITY TX, 77459"
"676310, SOLERA AT WEST HOUSTON, 2101 GREENHOUSE ROAD, HOUSTON TX, 77084"
"676324, OAK MANOR NURSING HOME, 1200 FERGUSON ST, NACOGDOCHES TX, 75961"
"676333, SCC AT CLEAR BROOK CROSSING REHABILITATION AND HEA, 10800 FLORA MAE MEADOWS RD, HOUSTON TX, 77089"
"676357, THE BROADMOOR AT CREEKSIDE PARK, 5665 CREEKSIDE FOREST DRIVE, THE WOODLANDS TX, 77389"
"676323, THE CRESCENT, 11353 SUGAR PARK LANE, SUGAR LAND TX, 77478"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676340, ROCK HAVEN NURSING HOME, 401 S E STALLINGS DR, NACOGDOCHES TX, 75964"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676349, ACCEL AT WILLOW BEND, 2620 COMMUNICATIONS PKWY, PLANO TX, 75093"
"676315, THE HILLCREST OF NORTH DALLAS, 18648 HILLCREST RD, DALLAS TX, 75252"
"676348, MADISON MEDICAL RESORT, 5001 OFFICE PARK DRIVE, ODESSA TX, 79762"
"676341, CAPROCK NURSING & REHABILITATION, 900 COLLEGE AVE, BORGER TX, 79007"
"676400, MRC THE CROSSINGS, 255 N EGRET BAY BLVD, LEAGUE CITY TX, 77573"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676318, WINDMILL NURSING & REHAB CENTER, 507 MARTIN LUTHER KING BLVD, LUBBOCK TX, 79403"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676325, TRISUN CARE CENTER -  LAKESIDE, 8707 LAKESIDE PARKWAY, SAN ANTONIO TX, 78245"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676326, EDGEWOOD REHABILITATION AND CARE CENTER, 1101 WINDBELL DR, MESQUITE TX, 75149"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676345, BEL AIR AT TERAVISTA, 4105 TERAVISTA CLUB DRIVE, ROUND ROCK TX, 78665"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676328, LAS COLINAS OF WESTOVER, 9738 WESTOVER HILLS BLVD, SAN ANTONIO TX, 78251"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676336, CONTINUING CARE AT EAGLES TRACE, 14703 EAGLE VISTA DRIVE BLDG 601B, HOUSTON TX, 77077"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676304, CREEKSIDE VILLAGE HEALTHCARE, 914 N BRAZOSPORT BLVD, CLUTE TX, 77531"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676299, SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE, 9801 S 1ST STREET, AUSTIN TX, 78748"
"676339, REMARKABLE HEALTHCARE OF DALLAS, LP, 3350 BONNIE VIEW ROAD, DALLAS TX, 75216"
"676315, THE HILLCREST OF NORTH DALLAS, 18648 HILLCREST RD, DALLAS TX, 75252"
"676321, WINDSOR NURSING AND REHABILITATION CENTER OF CORPU, 3030 FIG ST, CORPUS CHRISTI TX, 78404"
"676329, CONTINUING CARE AT HIGHLAND SPRINGS, 7910 FRANKFORD ROAD, DALLAS TX, 75252"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676378, SORRENTO, 2739 BABCOCK, SAN ANTONIO TX, 78229"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676303, MIRADOR, 5857 TIMBERGATE DR, CORPUS CHRISTI TX, 78414"
"676395, THE HEALTHCARE RESORT OF PLANO, 3325 WEST PLANO PARKWAY, PLANO TX, 75075"
"676306, HOLLY HALL, 2000 HOLLY HALL ST, HOUSTON TX, 77054"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676305, THE STAYTON AT MUSEUM WAY, 2501 MUSEUM WAY, FORT WORTH TX, 76107"
"676314, LA HACIENDA NURSING & REHAB CENTER, 3730 W. OREM DRIVE, HOUSTON TX, 77045"
"676342, ST. TERESA NURSING AND REHABILITATION CENTER, 10350 MONTANA AVENUE, EL PASO TX, 79925"
"676307, OAK VILLAGE HEALTHCARE, 204 OAK DRIVE SOUTH, LAKE JACKSON TX, 77566"
"676327, COTTONWOOD CREEK NURSING AND REHABILITATION CENTER, 1500 COTTONWOOD CREEK TRAIL, CEDAR PARK TX, 78613"
